dataset, model, optimizer, gradient_filter, IID, IID-Strategy, compress, compress-rate, B, C, E, LR, EarlyStopPatience, Device, LocalAcc, CentralAcc, FLAcc, TimeAll, Time-Init, Time-TrainReq, Time-TrainRun, Time-TrainSync, Time-TrainAgg, Time-ValReq, Time-ValRun, Time-ValSync, Time-ValAgg, CommRound, CommAmount(Server Send), CommAmount(Server Receive), LogFile
mnist, LeNet, Adam, None, 0, iid, no-compress, 1.0, 1000, 1.0, 1, 0.0001, 20, PC, None, None, 0.98367, 2:40:24, 0.67793, 0.09071, 0.60787, 0.80648, 0.24490, 1.21001, 0.02454, 0.17344, 0.00578, 2000, 134.98174, 135.16743, 0507_155631.log
mnist, MLP, Adam, None, 0, iid, no-compress, 1.0, 1000, 1.0, 1, 0.0001, 20, PC, None, None, 0.98067, 14:15:28, 0.57050, 0.09331, 0.48491, 9.05519, 0.63293, 5.84199, 0.01938, 0.24179, 0.02648, 2000, 2024.42566, 2023.91262, 0507_183919.log
mnist, LeNet, Adam, None, 0, iid, no-compress, 1.0, 1000, 1.0, 1, 0.0005, 20, PC, None, None, 0.99467, 2:23:59, 0.89309, 0.08470, 0.68950, 0.96579, 0.25476, 1.25156, 0.03615, 0.24211, 0.00662, 1609, 108.61574, 108.75541, 0508_085659.log
mnist, MLP, Adam, None, 0, iid, no-compress, 1.0, 1000, 1.0, 1, 0.0005, 20, PC, None, None, 0.98400, 5:22:21, 0.58959, 0.07859, 0.50563, 9.41013, 0.62892, 6.40284, 0.02262, 0.24126, 0.02493, 775, 785.54290, 784.88565, 0508_112320.log
mnist, LeNet, Adam, None, 0, iid, no-compress, 1.0, 1000, 1.0, 1, 0.001, 20, PC, None, None, 0.99200, 1:40:39, 0.89326, 0.08605, 0.69287, 0.96280, 0.24529, 1.25405, 0.03654, 0.23969, 0.00656, 1128, 76.18084, 76.26388, 0508_164759.log
mnist, MLP, Adam, None, 0, iid, no-compress, 1.0, 1000, 1.0, 1, 0.001, 20, PC, None, None, 0.98267, 2:57:18, 0.57047, 0.07947, 0.51971, 9.48945, 0.63168, 6.44738, 0.02255, 0.24084, 0.02441, 427, 433.59906, 432.90085, 0508_183106.log
mnist, LeNet, Adam, None, 0, iid, no-compress, 1.0, 1000, 1.0, 1, 0.005, 20, PC, None, None, 0.99300, 0:26:7, 0.93246, 0.08592, 0.71765, 0.96479, 0.25009, 1.32718, 0.03445, 0.24153, 0.00634, 286, 19.40291, 19.38683, 0508_213052.log
mnist, MLP, Adam, None, 0, iid, no-compress, 1.0, 1000, 1.0, 1, 0.005, 20, PC, None, None, 0.98167, 0:59:3, 0.58904, 0.07854, 0.54532, 9.43280, 0.62376, 6.33797, 0.02293, 0.24160, 0.02087, 141, 144.35786, 143.62598, 0508_215910.log
mnist, LeNet, Adam, None, 0, iid, no-compress, 1.0, 1000, 1.0, 1, 0.01, 20, PC, None, None, 0.99433, 0:13:58, 0.79611, 0.08394, 0.73270, 0.96268, 0.24771, 1.27775, 0.03360, 0.25097, 0.00607, 157, 10.70415, 10.67289, 0508_230039.log
mnist, MLP, Adam, None, 0, iid, no-compress, 1.0, 1000, 1.0, 1, 0.01, 20, PC, None, None, 0.98133, 0:48:53, 0.64812, 0.07898, 0.56898, 9.43162, 0.62837, 6.37234, 0.02319, 0.25102, 0.01895, 117, 120.08587, 119.35117, 0508_231648.log
mnist, LeNet, GD, None, 0, iid, no-compress, 1.0, 1000, 1.0, 1, 0.0001, 20, PC, None, None, 0.96833, 0:29:25, 0.99045, 0.08522, 0.63553, 0.63845, 0.11998, 0.97008, 0.02147, 0.31071, 0.00534, 412, 9.32883, 9.36081, 0509_000752.log
mnist, MLP, GD, None, 0, iid, no-compress, 1.0, 1000, 1.0, 1, 0.0001, 20, PC, None, None, 0.96300, 5:42:17, 0.66342, 0.07801, 0.39579, 3.22979, 0.22068, 2.43246, 0.01754, 0.31130, 0.01243, 2000, 674.95219, 674.93820, 0509_003929.log
mnist, LeNet, GD, None, 0, iid, no-compress, 1.0, 1000, 1.0, 1, 0.0005, 20, PC, None, None, 0.97233, 0:14:0, 0.97040, 0.08406, 0.64709, 0.63781, 0.11825, 0.96677, 0.02213, 0.31451, 0.00449, 194, 4.41343, 4.41975, 0509_062357.log
mnist, MLP, GD, None, 0, iid, no-compress, 1.0, 1000, 1.0, 1, 0.0005, 20, PC, None, None, 0.98233, 5:43:1, 0.67442, 0.07888, 0.39667, 3.22708, 0.22353, 2.45548, 0.01695, 0.31262, 0.01203, 2000, 674.95219, 674.93820, 0509_064008.log
mnist, LeNet, GD, None, 0, iid, no-compress, 1.0, 1000, 1.0, 1, 0.001, 20, PC, None, None, 0.97867, 0:28:23, 1.00229, 0.08479, 0.63312, 0.64261, 0.11938, 0.99825, 0.02157, 0.31235, 0.00430, 394, 8.92297, 8.95283, 0509_122521.log
mnist, MLP, GD, None, 0, iid, no-compress, 1.0, 1000, 1.0, 1, 0.001, 20, PC, None, None, 0.98400, 5:42:20, 0.65272, 0.07849, 0.39605, 3.23067, 0.22443, 2.48762, 0.01679, 0.31096, 0.00887, 2000, 674.95219, 674.93820, 0509_125557.log
mnist, LeNet, GD, None, 0, iid, no-compress, 1.0, 1000, 1.0, 1, 0.005, 20, PC, None, None, 0.18933, 0:1:37, 0.97765, 0.08393, 0.70115, 0.64560, 0.13109, 0.90057, 0.02529, 0.30873, 0.00361, 22, 0.53523, 0.52130, 0509_184028.log
mnist, MLP, GD, None, 0, iid, no-compress, 1.0, 1000, 1.0, 1, 0.005, 20, PC, None, None, 0.65767, 0:6:38, 0.66460, 0.08014, 0.45836, 3.20658, 0.20720, 2.41356, 0.02097, 0.31950, 0.00487, 38, 13.39967, 13.15472, 0509_184419.log
