Repeat, dataset, non-iid, non-iid-class, non-iid-strategy, normalize, B, C, E, max_rounds, name, num_tolerance, embedding_dim, hidden_units, loss, metrics, name, lr, best_metric$$test_accuracy, total_time, total_rounds, server_send, server_receive, time_detail,,,,,,,
30, celeba, False, None, natural, True,4,0.1,10,3000, FedAvg,100, None, None, categorical_crossentropy, ['accuracy'], LeNet,0.05, 0.84878(0.02635), 7.20278(1.15567), 163.66667(29.37951), 10.36394(1.85764), 1.58706(0.28288), 0.01737(0.00180), 0.70084(0.03758), 0.04912(0.00420), 0.00822(0.00050), 0.72917(0.01667), 0.22556(0.01166), 0.46905(0.01397), 0.00140(0.00013)
30, celeba, False, None, natural, True,1000,1,1,3000, FedSGD,100, None, None, categorical_crossentropy, ['accuracy'], LeNet,0.1, 0.86767(0.03082), 37.46389(9.81314), 428.73333(112.32184), 27.49011(7.18158), 37.43008(9.80333), 0.05359(0.00181), 0.69993(0.02891), 1.06538(0.00740), 0.17200(0.01589), 0.80635(0.00916), 0.20384(0.01454), 0.36673(0.01091), 0.00118(0.00007)
30, celeba, True, None, natural, True,4,0.1,10,3000, FedAvg,100, None, None, categorical_crossentropy, ['accuracy'], LeNet,0.05, 0.85056(0.01950), 8.21833(1.59806), 178.80000(33.38303), 11.32394(2.11278), 1.73658(0.32386), 0.01800(0.00185), 0.72912(0.04123), 0.05330(0.00829), 0.00801(0.00077), 0.73821(0.02551), 0.22898(0.01158), 0.46718(0.01004), 0.00145(0.00008)
30, celeba, True, None, natural, True,1000,1,1,3000, FedSGD,100, None, None, categorical_crossentropy, ['accuracy'], LeNet,0.1, 0.86578(0.04869), 38.72611(8.89602), 443.40000(101.10806), 28.42788(6.46476), 38.70976(8.82459), 0.05354(0.00166), 0.71121(0.02816), 1.07027(0.00809), 0.17631(0.01226), 0.81296(0.01385), 0.20423(0.01175), 0.35995(0.01639), 0.00117(0.00005)
24, femnist, False, None, natural, True,8,0.1,10,3000, FedAvg,100, None, None, categorical_crossentropy, ['accuracy'], LeNet,0.1, 0.82341(0.00862), 10.50694(1.56477), 204.12500(26.62911), 3.87839(0.50520), 0.69307(0.08994), 0.01897(0.00356), 0.89081(0.02555), 0.02471(0.00151), 0.00649(0.00258), 0.60021(0.00604), 0.26163(0.02678), 0.43125(0.02192), 0.00151(0.00014)
10, femnist, False, None, natural, True,8,0.1,10,3000, FedAvg,500, None, None, categorical_crossentropy, ['accuracy'], LeNet,0.1, 0.82972(0.00865), 27.87000(0.92228), 586.60000(19.28315), 11.12507(0.36547), 1.97026(0.06457), 0.01741(0.00088), 0.85574(0.00179), 0.02366(0.00063), 0.00450(0.00015), 0.59683(0.00322), 0.22883(0.00156), 0.40890(0.00179), 0.00146(0.00007)
30, femnist, False, None, natural, True,1000,1,1,3000, FedSGD,100, None, None, categorical_crossentropy, ['accuracy'], LeNet,0.1, 0.83254(0.01200), 85.51389(13.00126), 1240.96667(195.82466), 24.01457(3.78055), 32.82448(5.17213), 0.05316(0.00195), 0.70772(0.02110), 0.53470(0.02713), 0.10948(0.00881), 0.65268(0.00329), 0.23867(0.01361), 0.41350(0.02048), 0.00143(0.00007)
10, femnist, False, None, natural, True,1000,1,1,3000, FedSGD,500, None, None, categorical_crossentropy, ['accuracy'], LeNet,0.1, 0.85313(0.01042), 138.91667(12.14132), 2062.90000(180.96875), 39.88542(3.49683), 54.53736(4.78397), 0.05348(0.00065), 0.69340(0.00096), 0.51667(0.00224), 0.11787(0.00106), 0.65449(0.00173), 0.22894(0.00135), 0.40099(0.00153), 0.00139(0.00002)
30, femnist, True, None, natural, True,8,0.1,10,3000, FedAvg,100, None, None, categorical_crossentropy, ['accuracy'], LeNet,0.1, 0.79882(0.02009), 11.71833(2.43084), 233.00000(50.20956), 4.42469(0.95144), 0.78845(0.16795), 0.02012(0.00278), 0.87698(0.02318), 0.02596(0.00148), 0.00541(0.00151), 0.61287(0.00726), 0.25492(0.01831), 0.42634(0.01944), 0.00153(0.00010)
30, femnist, True, None, natural, True,1000,1,1,3000, FedSGD,100, None, None, categorical_crossentropy, ['accuracy'], LeNet,0.1, 0.84237(0.01084), 85.99500(11.57988), 1242.03333(173.86115), 24.03805(3.35524), 32.85681(4.59041), 0.05279(0.00194), 0.70685(0.02362), 0.53499(0.02974), 0.10765(0.01393), 0.64995(0.00761), 0.24178(0.01838), 0.41665(0.02400), 0.00143(0.00007)
2, femnist, True, None, natural, True,1000,1,1,3000, FedSGD,500, None, None, categorical_crossentropy, ['accuracy'], LeNet,0.1, 0.85052(0.00753), 132.64167(0.22500), 1979.00000(8.00000), 38.26184(0.15212), 52.31737(0.20882), 0.05363(0.00135), 0.69044(0.00134), 0.51358(0.00104), 0.11981(0.00143), 0.65531(0.00244), 0.22881(0.00056), 0.39726(0.00007), 0.00138(0.00003)
