Repeat, dataset, non-iid-strategy, normalize, sample_size, B, C, E, beta1, beta2, eta, max_rounds, mu, name, opt_name, sparsity, tau, embedding_dim, hidden_units, loss, metrics, name, lr, enable_gpu, num_containers, num_gpu, central_train$$test_accuracy, best_metric$$test_binary_accuracy, total_time, total_rounds, server_send, server_receive, time_detail
1, mnist, average, True, 600, 64, 1.0, 100, 0.9, 0.99, 1.0, 1, 0.01, LocalCentral, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.0001, True, 20, 2, 0.90200(0.00000), 0.11817(0.00000), 2.60000(0.00000), 1.00000(0.00000), 0.25465(0.00000), 0.34662(0.00000), 0.01045(0.00000), 30.62021(0.00000), 0.12543(0.00000), 0.00622(0.00000), 0.00901(0.00000), 0.19497(0.00000), 0.01299(0.00000), 0.00047(0.00000)
1, mnist, average, True, 600, 64, 1.0, 100, 0.9, 0.99, 1.0, 1, 0.01, LocalCentral, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.0003, True, 20, 2, 0.93583(0.00000), 0.16300(0.00000), 2.61667(0.00000), 1.00000(0.00000), 0.25469(0.00000), 0.34668(0.00000), 0.00952(0.00000), 30.63303(0.00000), 0.13103(0.00000), 0.00630(0.00000), 0.01097(0.00000), 0.19315(0.00000), 0.01390(0.00000), 0.00064(0.00000)
1, mnist, average, True, 600, 64, 1.0, 100, 0.9, 0.99, 1.0, 1, 0.01, LocalCentral, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.0005, True, 20, 2, 0.94750(0.00000), 0.23417(0.00000), 2.61667(0.00000), 1.00000(0.00000), 0.25461(0.00000), 0.34665(0.00000), 0.01176(0.00000), 30.83432(0.00000), 0.13602(0.00000), 0.00666(0.00000), 0.01005(0.00000), 0.18927(0.00000), 0.01679(0.00000), 0.00047(0.00000)
1, mnist, average, True, 600, 64, 1.0, 100, 0.9, 0.99, 1.0, 1, 0.01, LocalCentral, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.0007, True, 20, 2, 0.95383(0.00000), 0.28600(0.00000), 2.61667(0.00000), 1.00000(0.00000), 0.25472(0.00000), 0.34665(0.00000), 0.00844(0.00000), 30.77209(0.00000), 0.13209(0.00000), 0.00694(0.00000), 0.00942(0.00000), 0.19477(0.00000), 0.01371(0.00000), 0.00047(0.00000)
1, mnist, average, True, 600, 64, 1.0, 100, 0.9, 0.99, 1.0, 1, 0.01, LocalCentral, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.0009, True, 20, 2, 0.95967(0.00000), 0.33350(0.00000), 2.61667(0.00000), 1.00000(0.00000), 0.25468(0.00000), 0.34666(0.00000), 0.00782(0.00000), 30.80543(0.00000), 0.13600(0.00000), 0.00611(0.00000), 0.01042(0.00000), 0.19294(0.00000), 0.01222(0.00000), 0.00062(0.00000)
1, mnist, average, True, 600, 64, 1.0, 100, 0.9, 0.99, 1.0, 1, 0.01, LocalCentral, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.001, True, 20, 2, 0.96133(0.00000), 0.36883(0.00000), 2.61667(0.00000), 1.00000(0.00000), 0.25469(0.00000), 0.34673(0.00000), 0.01836(0.00000), 30.83415(0.00000), 0.11889(0.00000), 0.00568(0.00000), 0.00899(0.00000), 0.18815(0.00000), 0.01408(0.00000), 0.00080(0.00000)
1, mnist, average, True, 600, 64, 1.0, 100, 0.9, 0.99, 1.0, 1, 0.01, LocalCentral, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.003, True, 20, 2, 0.97933(0.00000), 0.69233(0.00000), 2.63333(0.00000), 1.00000(0.00000), 0.25470(0.00000), 0.34669(0.00000), 0.04252(0.00000), 30.84037(0.00000), 0.14426(0.00000), 0.01338(0.00000), 0.00924(0.00000), 0.19874(0.00000), 0.01140(0.00000), 0.00046(0.00000)
1, mnist, average, True, 600, 64, 1.0, 100, 0.9, 0.99, 1.0, 1, 0.01, LocalCentral, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.005, True, 20, 2, 0.98450(0.00000), 0.82583(0.00000), 2.61667(0.00000), 1.00000(0.00000), 0.25465(0.00000), 0.34668(0.00000), 0.00917(0.00000), 30.81746(0.00000), 0.13708(0.00000), 0.00645(0.00000), 0.00945(0.00000), 0.19388(0.00000), 0.01459(0.00000), 0.00047(0.00000)
1, mnist, average, True, 600, 64, 1.0, 100, 0.9, 0.99, 1.0, 1, 0.01, LocalCentral, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.007, True, 20, 2, 0.98550(0.00000), 0.86167(0.00000), 2.61667(0.00000), 1.00000(0.00000), 0.25473(0.00000), 0.34666(0.00000), 0.01011(0.00000), 30.77958(0.00000), 0.12829(0.00000), 0.00611(0.00000), 0.01011(0.00000), 0.19085(0.00000), 0.01224(0.00000), 0.00060(0.00000)
1, mnist, average, True, 600, 64, 1.0, 100, 0.9, 0.99, 1.0, 1, 0.01, LocalCentral, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.009, True, 20, 2, 0.98633(0.00000), 0.86817(0.00000), 2.61667(0.00000), 1.00000(0.00000), 0.25464(0.00000), 0.34668(0.00000), 0.00686(0.00000), 30.78938(0.00000), 0.12893(0.00000), 0.00697(0.00000), 0.00942(0.00000), 0.18585(0.00000), 0.02326(0.00000), 0.00046(0.00000)
1, mnist, average, True, 600, 64, 1.0, 100, 0.9, 0.99, 1.0, 1, 0.01, LocalCentral, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.01, True, 20, 2, 0.98550(0.00000), 0.87733(0.00000), 2.61667(0.00000), 1.00000(0.00000), 0.25464(0.00000), 0.34674(0.00000), 0.01114(0.00000), 30.67253(0.00000), 0.12886(0.00000), 0.00571(0.00000), 0.00922(0.00000), 0.19748(0.00000), 0.01037(0.00000), 0.00059(0.00000)
