dataset, lr, local_loss, local_accuracy, central_loss, central_accuracy
femnist,0.0001,3.523642728,0.115431701,0.556532681,0.844727695
femnist,0.0001,3.565461693,0.08204513,0.597936451,0.843568921
femnist,0.0001,3.505103524,0.108327319,0.556588173,0.842410207
femnist,0.0001,3.619414148,0.0965314,0.600904465,0.834878325
femnist,0.0001,3.623307729,0.094306507,0.60693866,0.822711468
,,3.567385964,0.099328411,0.583780086,0.837659323
femnist,0.0005,3.512950464,0.1344301,0.615197957,0.830822706
femnist,0.0005,3.594629936,0.104062684,0.561206341,0.855735779
femnist,0.0005,3.511522559,0.127603302,0.591737092,0.856315196
femnist,0.0005,3.602899524,0.099355361,0.601334214,0.853418291
,,3.555500621,0.116362862,0.592368901,0.849072993
femnist,0.001,3.584885106,0.162181403,0.63601774,0.858632684
femnist,0.001,3.689922373,0.105082016,0.808468282,0.829663992
femnist,0.001,3.654826664,0.140284948,0.768590987,0.840672076
femnist,0.001,3.78709288,0.149361491,0.669720054,0.855735779
,,3.679181756,0.139227464,0.720699266,0.846176133
femnist,0.005,4.378710357,0.504090166,1.088794589,0.853997707
femnist,0.005,4.956952091,0.505192121,1.339913964,0.819235206
femnist,0.005,4.859370294,0.402584516,1.124150157,0.827346444
femnist,0.005,4.573279978,0.506596034,1.071134686,0.836037099
,,4.69207818,0.479615709,1.155998349,0.834154114
femnist,0.01,5.37339335,0.500735535,1.399184585,0.827346444
femnist,0.01,5.343885276,0.496092409,1.084504724,0.854577065
femnist,0.01,5.720540788,0.496130934,1.128024101,0.845307052
femnist,0.01,5.479281248,0.464339289,1.460122705,0.831402063
,,5.479275165,0.489324542,1.267959028,0.839658156
femnist,0.05,7.079717011,0.506923296,1.463971853,0.797218978
femnist,0.05,6.153335186,0.526660472,1.331099272,0.81054461
femnist,0.05,6.555984814,0.495540314,1.225142241,0.796060264
femnist,0.05,6.101844331,0.513727247,1.145096421,0.841251433
,,6.472720336,0.510712832,1.291327447,0.811268821
femnist,0.1,6.99062203,0.481829256,3.389347553,0.082850523
femnist,0.1,6.923268116,0.484889988,3.354905844,0.084009267
femnist,0.1,7.056431258,0.495281775,3.387082338,0.082271144
femnist,0.1,7.726583023,0.47086451,3.379071236,0.068366162
,,7.174226107,0.483216382,3.377601743,0.079374274
femnist,0.5, nan,0.064164179,3.404513597,0.066628039
femnist,0.5,3.675429044,0.067111095,3.377304316,0.081691772
femnist,0.5,3.717428315,0.068525974,3.372000694,0.075898029
femnist,0.5,3.653244417,0.069477791,3.37021637,0.075318657
,,3.682033925,0.06731976,3.381008744,0.074884124
femnist,1, nan,0.066695517,3.330248117,0.078215525
femnist,1, nan,0.078633122, nan,0.09038239
femnist,1,3.734315801,0.069926812,3.437977314,0.077636153
femnist,1, nan,0.071069628,3.436851263,0.085747391
,,3.734315801,0.071581269,3.401692231,0.082995364
